Ingredient,Frequency
"HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID",9
"TRIETHYL CITRATE",9
"METHYL GLUCETH-20",9
"POLYMETHYL METHACRYLATE",9
"GLYCINE SOJA (SOYBEAN) OIL (GLYCINE SOJA OIL)",9
"METHYL METHACRYLATE CROSSPOLYMER",9
"CETYL PHOSPHATE",9
"RED 33 (CI 17200)",9
"CI 19140",9
"Bis-Ethoxydiglycol Cyclohexane 1",9
"4-Dicarboxylate",9
"Synthetic Beeswax",9
"Mauritia Flexuosa Fruit Oil",9
"Hydrogenated Olive Oil Unsaponifiables",9
"Citrus Aurantifolia (Lime) Fruit Extract",9
"[Earthy] Water(Aqua)",9
"Cedrus Atlantica Wood Oil",9
"Peach Water (Aqua)",9
"Fragrance(Parfum)(Benzyl Benzoate",9
"Linalool) Cherry Water",9
"Citronellol Cactus Water",9
"Lauryl Hydroxysultaine",9
"Cocamide MIPA",9
"Sapindus Mukorossi Fruit Extract",9
"Vitis Vinifera Seed Oil",9
"Hexapeptide-11",9
"Thymus Vulgaris (Thyme) Leaf Extract",9
"Chondrus Crispus Extract",9
"Gardenia Florida Fruit Extract",9
"Hibiscus Sabdariffa Flower Extract",9
"Phyllostachys Pubescens Shoot Bark Extract",9
"Inulin",8
"Sodium Cetearyl Sulfate",8
"Sodyum Sitrat",8
"ZINC GLUCONATE",8
"CI 77891 / TITANIUM DIOXIDE",8
"CAPRYLYL METHICONE",8
"AQUAPHILUS DOLOMIAE EXTRACT",8
"ISOCETYL STEAROYL STEARATE",8
"SCLEROTIUM GUM",8
"BUTYROSPERMUM PARKII (SHEA) BUTTER (BUTYROSPERMUM PARKII BUTTER)",8
"SODIUM ACETATE",8
"PROPYLENE CARBONATE",8
"SODIUM PHYTATE",8
"CALCIUM CHLORIDE",8
"Butyrospermum Parkii (Shea) Butter Extract",8
"Glyceryl Glucoside",8
"Ammonium Lauryl Sulfate",8
"Ribes Nigrum (Black Currant) Leaf Extract",8
"Zingiber Officinale (Ginger) Root Extract",8
"Salix Alba (Willow) Bark Extract",8
"Mangifera Indica (Mango) Fruit Extract",8
"Sodium Ascorbyl Phosphate",8
"Betaine Salicylate",8
"Cocos Nucifera (Coconut) Oil",8
"Aesculus Hippocastanum (Horse Chestnut) Extract",8
"Illicium Verum (Anise) Fruit Extract",8
"Sodium Phosphate",8
"Ananas Sativus (Pineapple) Fruit Extract",8
"Citrus Junos Fruit Extract",8
"Citrus Limon (Lemon) Peel Oil",8
"Chaenomeles Sinensis Fruit Extract",8
"Tris(Tetramethylhydroxypiperidinol) Citrate",8
"Polyquaternium-7",8
"UREA",8
"Houttuynia Cordata Extract",8
"000 mg)",8
"Argania Spinosa Kernel Oil",8
"Fragaria Vesca (Strawberry) Leaf Extract",8
"Origanum Majorana Leaf Extract",8
"Crocus Sativus Stigma Extract",8
"Stevia Rebaudiana Leaf Powder",8
"Alcloxa",8
"Lauril Glukosid",7
"Lesitin",7
"Sodyum Benzoat",7
"Kaolin",7
"Aloe Barbadensis Leaf Juice Powder",7
"Distarch Phosphate",7
"Ubiquinone",7
"PEG/PPG-17/6 Copolymer",7
"Prunus Amygdalus Dulcis Oil",7
"Aluminum Chlorohydrate",7
"Steareth-21",7
"Persea Gratissima Oil",7
"SILICA SILYLATE",7
"CERA ALBA / BEESWAX",7
"ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER",7
"BIS-PEG-18 METHYL ETHER DIMETHYL SILANE",7
"Aluminum Starch Octenylsuccinate",7
"OENOTHERA BIENNIS (EVENING PRIMROSE) OIL (OENOTHERA BIENNIS OIL)",7
"CELLULOSE ACETATE",7
"PEG-30 DIPOLYHYDROXYSTEARATE",7
"OXOTHIAZOLIDINE",7
"CETYL PEG/PPG-10/1 DIMETHICONE",7
"GLYCERYL LAURATE",7
"SODIUM COCOAMPHOACETATE",7
"ARACHIDYL ALCOHOL",7
